"CSV - Statistik - Export für https://osdorf.de/ Firma Gemeinde Osdorf vom 01.09.2025 11:44:47",,,,,
Datum;Standard;Level;Errors;Warnings;Notices
"2024-12-29 17:06:38";"=""2.0""";A;10;14;135
"2024-12-30 12:18:28";"=""2.0""";A;10;14;135
"2024-12-31 23:00:27";"=""2.0""";A;10;14;135
"2025-01-01 23:00:25";"=""2.0""";A;10;14;135
"2025-01-02 23:00:30";"=""2.0""";A;10;14;135
"2025-01-03 23:00:29";"=""2.0""";A;6;14;121
"2025-01-04 23:00:25";"=""2.0""";A;6;14;121
"2025-01-05 23:00:24";"=""2.0""";A;6;14;121
"2025-01-06 23:00:25";"=""2.0""";A;6;14;121
"2025-01-07 23:00:23";"=""2.0""";A;6;14;121
"2025-01-08 23:00:25";"=""2.0""";A;6;14;121
"2025-01-09 23:00:26";"=""2.0""";A;6;14;121
"2025-01-10 10:58:37";"=""2.0""";A;6;14;121
"2025-01-11 23:00:24";"=""2.0""";A;6;14;121
"2025-01-12 23:00:26";"=""2.0""";A;6;14;121
"2025-01-13 23:00:25";"=""2.0""";A;6;14;121
"2025-01-14 23:00:25";"=""2.0""";A;6;14;121
"2025-01-15 23:00:26";"=""2.0""";A;6;14;121
"2025-01-16 23:00:23";"=""2.0""";A;6;14;121
"2025-01-17 23:00:25";"=""2.0""";A;6;14;119
"2025-01-18 23:00:25";"=""2.0""";A;6;14;119
"2025-01-19 23:00:25";"=""2.0""";A;6;14;119
"2025-01-20 23:00:24";"=""2.0""";A;6;14;119
"2025-01-21 23:00:26";"=""2.0""";A;6;14;120
"2025-01-22 23:00:24";"=""2.0""";A;6;14;120
"2025-01-23 23:00:22";"=""2.0""";A;7;14;120
"2025-01-24 23:00:25";"=""2.0""";A;6;14;124
"2025-01-25 23:00:26";"=""2.0""";A;6;14;124
"2025-01-26 23:00:26";"=""2.0""";A;6;14;124
"2025-01-27 23:00:25";"=""2.0""";A;6;14;124
"2025-01-28 23:00:23";"=""2.0""";A;6;14;124
"2025-01-29 23:00:26";"=""2.0""";A;6;14;124
"2025-01-30 23:00:23";"=""2.0""";A;6;14;124
"2025-01-31 23:00:23";"=""2.0""";A;10;14;128
"2025-02-01 23:00:26";"=""2.0""";A;10;14;128
"2025-02-02 23:00:26";"=""2.0""";A;10;14;128
"2025-02-12 11:03:56";"=""2.0""";A;14;14;134
"2024-12-29 17:06:42";"=""2.0""";AA;71;62;151
"2024-12-30 12:18:31";"=""2.0""";AA;71;62;151
"2024-12-30 23:00:29";"=""2.0""";AA;72;62;151
"2024-12-31 23:00:30";"=""2.0""";AA;71;62;151
"2025-01-01 23:00:28";"=""2.0""";AA;71;62;151
"2025-01-02 23:00:35";"=""2.0""";AA;71;62;151
"2025-01-03 23:00:32";"=""2.0""";AA;63;62;137
"2025-01-04 23:00:28";"=""2.0""";AA;62;62;137
"2025-01-05 23:00:27";"=""2.0""";AA;62;62;137
"2025-01-06 23:00:28";"=""2.0""";AA;62;62;137
"2025-01-07 23:00:26";"=""2.0""";AA;62;62;137
"2025-01-08 23:00:28";"=""2.0""";AA;62;62;137
"2025-01-09 23:00:29";"=""2.0""";AA;62;62;137
"2025-01-10 10:58:41";"=""2.0""";AA;62;62;137
"2025-01-11 23:00:28";"=""2.0""";AA;62;62;137
"2025-01-12 23:00:29";"=""2.0""";AA;63;62;137
"2025-01-13 23:00:28";"=""2.0""";AA;62;62;137
"2025-01-14 23:00:28";"=""2.0""";AA;62;62;137
"2025-01-15 23:00:29";"=""2.0""";AA;62;62;137
"2025-01-16 23:00:26";"=""2.0""";AA;62;62;137
"2025-01-17 23:00:28";"=""2.0""";AA;61;62;135
"2025-01-18 23:00:29";"=""2.0""";AA;61;62;135
"2025-01-19 23:00:29";"=""2.0""";AA;61;62;135
"2025-01-20 23:00:27";"=""2.0""";AA;61;62;135
"2025-01-21 23:00:29";"=""2.0""";AA;61;62;136
"2025-01-22 23:00:27";"=""2.0""";AA;61;62;136
"2025-01-23 23:00:25";"=""2.0""";AA;61;62;136
"2025-01-24 23:00:29";"=""2.0""";AA;65;62;140
"2025-01-25 23:00:30";"=""2.0""";AA;64;62;140
"2025-01-26 23:00:29";"=""2.0""";AA;64;62;140
"2025-01-27 23:00:29";"=""2.0""";AA;64;62;140
"2025-01-28 23:00:27";"=""2.0""";AA;64;62;140
"2025-01-29 23:00:29";"=""2.0""";AA;65;62;140
"2025-01-30 23:00:27";"=""2.0""";AA;64;62;140
"2025-01-31 23:00:27";"=""2.0""";AA;71;62;144
"2025-02-01 23:00:29";"=""2.0""";AA;71;62;144
"2025-02-02 23:00:29";"=""2.0""";AA;71;62;144
"2025-02-12 11:04:00";"=""2.0""";AA;74;62;150
"2024-12-29 17:06:45";"=""2.0""";AAA;100;59;166
"2024-12-30 12:18:34";"=""2.0""";AAA;100;59;166
"2024-12-31 23:00:33";"=""2.0""";AAA;100;59;166
"2025-01-01 23:00:31";"=""2.0""";AAA;100;59;166
"2025-01-02 23:00:39";"=""2.0""";AAA;100;59;166
"2025-01-03 23:00:35";"=""2.0""";AAA;91;57;152
"2025-01-04 23:00:31";"=""2.0""";AAA;91;57;152
"2025-01-05 23:00:30";"=""2.0""";AAA;91;57;152
